Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,68|6,,,32.11,2.723,7.699,5.164,19.71,30.61,1.97
69,69|1,,,28.87,2.151,6.379,4.756,16.42,40.39,1.01
,69|10,,,30.36,1.665,6.627,5.354,18.93,36.14,0.91
,69|11,,,31.49,1.622,5.833,3.552,19.38,36.84,1.27
,69|12,,,31.4,1.934,8.136,4.751,18.54,33.99,1.22
,69|13,,,34.47,1.521,7.187,3.41,19.93,32.84,0.62
,69|14,,,30.54,1.705,7.229,2.721,23.67,33.26,0.85
,69|2,,,22.8,1.887,7.882,4.218,14.46,47.73,0.99
,69|3,,,23.79,2.05,8.507,4.243,15.59,44.6,1.19
,69|4,,,29.51,2.052,8.418,5.261,16.75,37.17,0.81
,69|5,,,31.94,1.974,7.707,4.649,17.19,35.19,1.33
,69|6,,,28.7,1.55,6.575,3.8,20.22,38.15,1
,69|7,,,31.48,2.185,6.725,3.783,20.8,34.21,0.79
,69|8,,,29.11,1.763,7.365,3.769,18.46,38.38,1.14
,69|9,,,27.46,1.492,5.543,4.179,21.27,38.89,1.15
70,70|1,,,36.99,3.082,5.658,3.8,21.19,27.61,1.64
,70|2,,,36.17,2.923,4.905,3.419,22.34,29.03,1.18
71,71|1,,,18.34,1.754,3.907,3.189,44.49,27.07,1.23
,71|2,,,16.93,1.338,3.882,1.271,58.23,17.73,0.6
,71|3,,,17.52,0.893,4.467,1.786,56.49,18.17,0.65
,71|4,,,9.319,1.102,2.581,1.322,70.78,14.13,0.75
,71|5,,,16.68,0.939,4.038,1.314,57.85,18.75,0.4
72,72|1,,,31.39,1.896,8.52,4.114,16.28,36.65,1.13
,72|2,,,37.65,2.145,6.923,3.4,16.68,32.1,1.09
,72|3,,,33.12,2.08,5.838,4.624,18.67,34.73,0.92
,72|4,,,32.5,1.569,6.605,3.727,19.16,35.05,1.37
,72|5,,,36.09,2.103,7.191,4.85,16.75,31.85,1.15
73,73|1,,,31.78,2.147,6.37,4.295,17.8,36.18,1.41
,73|2,,,34.36,1.576,5.485,4.098,17.71,35.62,1.13
,73|3,,,31.91,1.738,6.25,4.387,20.11,34.18,1.4
,73|4,,,32.52,2.191,6.151,4.466,16.12,37.1,1.43
74,74|1,,,31.14,1.955,6.236,5.166,16.16,38.08,1.25
,74|2,,,31.23,1.796,7.099,4.694,15.87,38.27,1.01
,74|3,,,25.83,1.386,6.805,4.473,16,44.29,1.19
,74|4,,,30.3,2.367,7.528,3.598,19.41,35.51,1.27
,74|5,,,29.38,2.543,7.084,4.904,14.98,40.09,0.99
,74|6,,,30.09,1.813,7.615,4.533,18.04,37.17,0.72
